season,match_id,team_a,team_b,team_a_score,team_b_score,winner,date,venue,strength_a,strength_b
1,PKL_S1_M016,Telugu Titans,Bengaluru Bulls,29,40,Bengaluru Bulls,2023-01-16,Hyderabad,0.7589606407753696,0.6668291153593768
1,PKL_S1_M017,Bengaluru Bulls,Jaipur Pink Panthers,41,33,Bengaluru Bulls,2023-01-17,Delhi,0.6668291153593768,0.8261514928204012
1,PKL_S1_M018,Jaipur Pink Panthers,Puneri Paltan,29,37,Puneri Paltan,2023-01-18,Haryana,0.8261514928204012,0.7683717364576454
1,PKL_S1_M019,Dabang Delhi KC,Jaipur Pink Panthers,34,37,Dabang Delhi KC,2023-01-19,Ahmedabad,0.7971280021792982,0.8261514928204012
1,PKL_S1_M020,Dabang Delhi KC,U Mumba,26,43,U Mumba,2023-01-20,Hyderabad,0.7971280021792982,0.8123844269050347
1,PKL_S1_M021,U Mumba,Puneri Paltan,36,33,Puneri Paltan,2023-01-21,Kolkata,0.8123844269050347,0.7683717364576454
1,PKL_S1_M022,Patna Pirates,Jaipur Pink Panthers,32,43,Jaipur Pink Panthers,2023-01-22,Ahmedabad,0.8748357076505616,0.8261514928204012
1,PKL_S1_M023,Bengaluru Bulls,UP Yoddhas,39,29,Bengaluru Bulls,2023-01-23,Delhi,0.6668291153593768,0.6367135123214872
1,PKL_S1_M024,Gujarat Giants,Patna Pirates,42,30,Gujarat Giants,2023-01-24,Ahmedabad,0.6865262807032524,0.8748357076505616
1,PKL_S1_M025,Gujarat Giants,Bengal Warriors,27,34,Bengal Warriors,2023-01-25,Mumbai,0.6865262807032524,0.8130867849414407
1,PKL_S1_M026,Jaipur Pink Panthers,U Mumba,41,37,Jaipur Pink Panthers,2023-01-26,Mumbai,0.8261514928204012,0.8123844269050347
1,PKL_S1_M027,Bengal Warriors,Jaipur Pink Panthers,32,32,Jaipur Pink Panthers,2023-01-27,Lucknow,0.8130867849414407,0.8261514928204012
1,PKL_S1_M028,Dabang Delhi KC,UP Yoddhas,38,27,Dabang Delhi KC,2023-01-28,Patna,0.7971280021792982,0.6367135123214872
1,PKL_S1_M029,UP Yoddhas,Gujarat Giants,30,41,Gujarat Giants,2023-01-29,Ahmedabad,0.6367135123214872,0.6865262807032524
1,PKL_S1_M030,Haryana Steelers,Tamil Thalaivas,26,39,Tamil Thalaivas,2023-01-30,Chennai,0.7082923312638332,0.6882931521525409
1,PKL_S1_M031,Dabang Delhi KC,Bengaluru Bulls,37,29,Dabang Delhi KC,2023-01-31,Jaipur,0.7971280021792982,0.6668291153593768
1,PKL_S1_M032,Bengaluru Bulls,Puneri Paltan,31,34,Puneri Paltan,2023-02-01,Jaipur,0.6668291153593768,0.7683717364576454
1,PKL_S1_M033,Patna Pirates,Dabang Delhi KC,32,37,Dabang Delhi KC,2023-02-02,Hyderabad,0.8748357076505616,0.7971280021792982
1,PKL_S1_M034,Tamil Thalaivas,Telugu Titans,28,32,Telugu Titans,2023-02-03,Hyderabad,0.6882931521525409,0.7589606407753696
1,PKL_S1_M035,Bengal Warriors,Puneri Paltan,39,34,Bengal Warriors,2023-02-04,Delhi,0.8130867849414407,0.7683717364576454
1,PKL_S1_M036,Bengaluru Bulls,Tamil Thalaivas,39,30,Bengaluru Bulls,2023-02-05,Delhi,0.6668291153593768,0.6882931521525409
1,PKL_S1_M037,Bengaluru Bulls,Puneri Paltan,36,34,Puneri Paltan,2023-02-06,Patna,0.6668291153593768,0.7683717364576454
1,PKL_S1_M038,Dabang Delhi KC,Gujarat Giants,36,27,Dabang Delhi KC,2023-02-07,Kolkata,0.7971280021792982,0.6865262807032524
1,PKL_S1_M039,Tamil Thalaivas,Puneri Paltan,25,38,Puneri Paltan,2023-02-08,Kolkata,0.6882931521525409,0.7683717364576454
1,PKL_S1_M040,Tamil Thalaivas,Bengaluru Bulls,34,31,Tamil Thalaivas,2023-02-09,Kolkata,0.6882931521525409,0.6668291153593768
1,PKL_S1_M041,UP Yoddhas,Tamil Thalaivas,30,40,Tamil Thalaivas,2023-02-10,Patna,0.6367135123214872,0.6882931521525409
1,PKL_S1_M042,Dabang Delhi KC,U Mumba,37,37,Dabang Delhi KC,2023-02-11,Lucknow,0.7971280021792982,0.8123844269050347
1,PKL_S1_M043,Dabang Delhi KC,Bengal Warriors,27,35,Bengal Warriors,2023-02-12,Patna,0.7971280021792982,0.8130867849414407
1,PKL_S1_M044,Patna Pirates,Gujarat Giants,26,40,Gujarat Giants,2023-02-13,Lucknow,0.8748357076505616,0.6865262807032524
1,PKL_S1_M045,Telugu Titans,Tamil Thalaivas,44,32,Telugu Titans,2023-02-14,Ahmedabad,0.7589606407753696,0.6882931521525409
1,PKL_S1_M046,U Mumba,UP Yoddhas,37,31,U Mumba,2023-02-15,Ahmedabad,0.8123844269050347,0.6367135123214872
1,PKL_S1_M047,UP Yoddhas,Tamil Thalaivas,35,33,UP Yoddhas,2023-02-16,Ahmedabad,0.6367135123214872,0.6882931521525409
1,PKL_S1_M048,Jaipur Pink Panthers,Haryana Steelers,42,27,Jaipur Pink Panthers,2023-02-17,Patna,0.8261514928204012,0.7082923312638332
1,PKL_S1_M049,Bengal Warriors,U Mumba,36,33,U Mumba,2023-02-18,Patna,0.8130867849414407,0.8123844269050347
1,PKL_S1_M050,Tamil Thalaivas,U Mumba,25,44,U Mumba,2023-02-19,Jaipur,0.6882931521525409,0.8123844269050347
1,PKL_S1_M051,Gujarat Giants,Bengal Warriors,25,34,Bengal Warriors,2023-02-20,Jaipur,0.6865262807032524,0.8130867849414407
1,PKL_S1_M052,Jaipur Pink Panthers,Puneri Paltan,34,41,Puneri Paltan,2023-02-21,Pune,0.8261514928204012,0.7683717364576454
1,PKL_S1_M053,Tamil Thalaivas,UP Yoddhas,38,35,Tamil Thalaivas,2023-02-22,Pune,0.6882931521525409,0.6367135123214872
1,PKL_S1_M054,Dabang Delhi KC,Bengaluru Bulls,32,42,Bengaluru Bulls,2023-02-23,Jaipur,0.7971280021792982,0.6668291153593768
1,PKL_S1_M055,Puneri Paltan,Bengaluru Bulls,44,27,Puneri Paltan,2023-02-24,Bengaluru,0.7683717364576454,0.6668291153593768
1,PKL_S1_M056,Gujarat Giants,Tamil Thalaivas,36,35,Tamil Thalaivas,2023-02-25,Kolkata,0.6865262807032524,0.6882931521525409
1,PKL_S1_M057,Patna Pirates,Telugu Titans,41,32,Patna Pirates,2023-02-26,Haryana,0.8748357076505616,0.7589606407753696
1,PKL_S1_M058,Puneri Paltan,Haryana Steelers,37,30,Puneri Paltan,2023-02-27,Ahmedabad,0.7683717364576454,0.7082923312638332
1,PKL_S1_M059,Tamil Thalaivas,Puneri Paltan,26,32,Puneri Paltan,2023-02-28,Chennai,0.6882931521525409,0.7683717364576454
1,PKL_S1_M060,Bengaluru Bulls,Jaipur Pink Panthers,26,43,Jaipur Pink Panthers,2023-03-01,Hyderabad,0.6668291153593768,0.8261514928204012
1,PKL_S1_M061,UP Yoddhas,U Mumba,27,36,U Mumba,2023-03-02,Hyderabad,0.6367135123214872,0.8123844269050347
1,PKL_S1_M062,Gujarat Giants,Bengal Warriors,31,39,Bengal Warriors,2023-03-03,Kolkata,0.6865262807032524,0.8130867849414407
1,PKL_S1_M063,Gujarat Giants,Telugu Titans,35,44,Telugu Titans,2023-03-04,Patna,0.6865262807032524,0.7589606407753696
1,PKL_S1_M064,Dabang Delhi KC,U Mumba,33,38,U Mumba,2023-03-05,Patna,0.7971280021792982,0.8123844269050347
1,PKL_S1_M065,Gujarat Giants,Patna Pirates,25,44,Patna Pirates,2023-03-06,Haryana,0.6865262807032524,0.8748357076505616
1,PKL_S1_M066,Bengal Warriors,Puneri Paltan,30,37,Puneri Paltan,2023-03-07,Delhi,0.8130867849414407,0.7683717364576454
1,PKL_S1_M067,Tamil Thalaivas,Haryana Steelers,25,38,Haryana Steelers,2023-03-08,Lucknow,0.6882931521525409,0.7082923312638332
1,PKL_S1_M068,Jaipur Pink Panthers,Puneri Paltan,28,38,Puneri Paltan,2023-03-09,Pune,0.8261514928204012,0.7683717364576454
1,PKL_S1_M069,Gujarat Giants,Bengaluru Bulls,32,41,Bengaluru Bulls,2023-03-10,Kolkata,0.6865262807032524,0.6668291153593768
1,PKL_S1_M070,U Mumba,Dabang Delhi KC,26,38,Dabang Delhi KC,2023-03-11,Lucknow,0.8123844269050347,0.7971280021792982
1,PKL_S1_M071,Patna Pirates,Tamil Thalaivas,32,37,Patna Pirates,2023-03-12,Chennai,0.8748357076505616,0.6882931521525409
1,PKL_S1_M072,U Mumba,Dabang Delhi KC,39,26,U Mumba,2023-03-13,Delhi,0.8123844269050347,0.7971280021792982
1,PKL_S1_M073,Bengaluru Bulls,UP Yoddhas,42,34,Bengaluru Bulls,2023-03-14,Jaipur,0.6668291153593768,0.6367135123214872
1,PKL_S1_M074,Bengaluru Bulls,Jaipur Pink Panthers,28,42,Jaipur Pink Panthers,2023-03-15,Ahmedabad,0.6668291153593768,0.8261514928204012
1,PKL_S1_M075,Bengaluru Bulls,Patna Pirates,41,27,Bengaluru Bulls,2023-03-16,Lucknow,0.6668291153593768,0.8748357076505616
1,PKL_S1_M076,Jaipur Pink Panthers,Gujarat Giants,33,26,Jaipur Pink Panthers,2023-03-17,Patna,0.8261514928204012,0.6865262807032524
1,PKL_S1_M077,Gujarat Giants,Jaipur Pink Panthers,39,27,Gujarat Giants,2023-03-18,Mumbai,0.6865262807032524,0.8261514928204012
1,PKL_S1_M078,Tamil Thalaivas,Telugu Titans,39,36,Tamil Thalaivas,2023-03-19,Patna,0.6882931521525409,0.7589606407753696
1,PKL_S1_M079,Gujarat Giants,U Mumba,44,37,Gujarat Giants,2023-03-20,Delhi,0.6865262807032524,0.8123844269050347
1,PKL_S1_M080,Tamil Thalaivas,Telugu Titans,32,43,Telugu Titans,2023-03-21,Jaipur,0.6882931521525409,0.7589606407753696
1,PKL_S1_M081,Tamil Thalaivas,UP Yoddhas,33,34,UP Yoddhas,2023-03-22,Patna,0.6882931521525409,0.6367135123214872
1,PKL_S1_M082,U Mumba,Patna Pirates,44,35,U Mumba,2023-03-23,Haryana,0.8123844269050347,0.8748357076505616
1,PKL_S1_M083,Tamil Thalaivas,Dabang Delhi KC,26,43,Dabang Delhi KC,2023-03-24,Pune,0.6882931521525409,0.7971280021792982
1,PKL_S1_M084,Bengaluru Bulls,Dabang Delhi KC,30,32,Dabang Delhi KC,2023-03-25,Hyderabad,0.6668291153593768,0.7971280021792982
1,PKL_S1_M085,Bengaluru Bulls,Patna Pirates,31,44,Patna Pirates,2023-03-26,Chennai,0.6668291153593768,0.8748357076505616
1,PKL_S1_M086,Puneri Paltan,UP Yoddhas,44,33,Puneri Paltan,2023-03-27,Chennai,0.7683717364576454,0.6367135123214872
1,PKL_S1_M087,Gujarat Giants,Patna Pirates,44,29,Gujarat Giants,2023-03-28,Haryana,0.6865262807032524,0.8748357076505616
1,PKL_S1_M088,Dabang Delhi KC,Bengal Warriors,26,44,Bengal Warriors,2023-03-29,Haryana,0.7971280021792982,0.8130867849414407
1,PKL_S1_M089,Haryana Steelers,Bengaluru Bulls,39,35,Haryana Steelers,2023-03-30,Delhi,0.7082923312638332,0.6668291153593768
1,PKL_S1_M090,Patna Pirates,Tamil Thalaivas,38,25,Patna Pirates,2023-03-31,Ahmedabad,0.8748357076505616,0.6882931521525409
1,PKL_S1_M091,Puneri Paltan,U Mumba,44,25,Puneri Paltan,2023-04-01,Jaipur,0.7683717364576454,0.8123844269050347
1,PKL_S1_M092,Gujarat Giants,Bengaluru Bulls,32,42,Bengaluru Bulls,2023-04-02,Haryana,0.6865262807032524,0.6668291153593768
1,PKL_S1_M093,Bengaluru Bulls,Bengal Warriors,43,25,Bengaluru Bulls,2023-04-03,Jaipur,0.6668291153593768,0.8130867849414407
1,PKL_S1_M094,Telugu Titans,U Mumba,38,34,Telugu Titans,2023-04-04,Pune,0.7589606407753696,0.8123844269050347
1,PKL_S1_M095,Gujarat Giants,UP Yoddhas,31,40,UP Yoddhas,2023-04-05,Ahmedabad,0.6865262807032524,0.6367135123214872
1,PKL_S1_M096,Gujarat Giants,Patna Pirates,30,41,Patna Pirates,2023-04-06,Chennai,0.6865262807032524,0.8748357076505616
1,PKL_S1_M097,Patna Pirates,Haryana Steelers,33,44,Haryana Steelers,2023-04-07,Pune,0.8748357076505616,0.7082923312638332
1,PKL_S1_M098,Bengal Warriors,Gujarat Giants,37,26,Bengal Warriors,2023-04-08,Kolkata,0.8130867849414407,0.6865262807032524
1,PKL_S1_M099,Dabang Delhi KC,Gujarat Giants,32,31,Dabang Delhi KC,2023-04-09,Hyderabad,0.7971280021792982,0.6865262807032524
1,PKL_S1_M100,Bengaluru Bulls,U Mumba,32,27,Bengaluru Bulls,2023-04-10,Haryana,0.6668291153593768,0.8123844269050347
1,PKL_S1_M101,U Mumba,Patna Pirates,34,37,Patna Pirates,2023-04-11,Lucknow,0.8123844269050347,0.8748357076505616
1,PKL_S1_M102,Gujarat Giants,Tamil Thalaivas,33,31,Gujarat Giants,2023-04-12,Lucknow,0.6865262807032524,0.6882931521525409
1,PKL_S1_M103,Patna Pirates,Telugu Titans,33,31,Patna Pirates,2023-04-13,Pune,0.8748357076505616,0.7589606407753696
1,PKL_S1_M104,Telugu Titans,Puneri Paltan,28,44,Puneri Paltan,2023-04-14,Jaipur,0.7589606407753696,0.7683717364576454
1,PKL_S1_M105,Gujarat Giants,Patna Pirates,39,35,Gujarat Giants,2023-04-15,Delhi,0.6865262807032524,0.8748357076505616
1,PKL_S1_M106,Bengal Warriors,Telugu Titans,32,32,Bengal Warriors,2023-04-16,Haryana,0.8130867849414407,0.7589606407753696
1,PKL_S1_M107,Gujarat Giants,Telugu Titans,38,27,Gujarat Giants,2023-04-17,Lucknow,0.6865262807032524,0.7589606407753696
1,PKL_S1_M108,UP Yoddhas,Gujarat Giants,26,40,Gujarat Giants,2023-04-18,Jaipur,0.6367135123214872,0.6865262807032524
1,PKL_S1_M109,Patna Pirates,Haryana Steelers,34,43,Haryana Steelers,2023-04-19,Chennai,0.8748357076505616,0.7082923312638332
1,PKL_S1_M110,Jaipur Pink Panthers,Bengaluru Bulls,31,41,Bengaluru Bulls,2023-04-20,Mumbai,0.8261514928204012,0.6668291153593768
1,PKL_S1_M111,Haryana Steelers,Telugu Titans,27,36,Telugu Titans,2023-04-21,Chennai,0.7082923312638332,0.7589606407753696
1,PKL_S1_M112,U Mumba,Puneri Paltan,40,35,U Mumba,2023-04-22,Ahmedabad,0.8123844269050347,0.7683717364576454
1,PKL_S1_M113,Gujarat Giants,Telugu Titans,42,25,Gujarat Giants,2023-04-23,Pune,0.6865262807032524,0.7589606407753696
1,PKL_S1_M114,UP Yoddhas,Bengaluru Bulls,44,33,UP Yoddhas,2023-04-24,Bengaluru,0.6367135123214872,0.6668291153593768
1,PKL_S1_M115,Dabang Delhi KC,Puneri Paltan,33,34,Puneri Paltan,2023-04-25,Lucknow,0.7971280021792982,0.7683717364576454
1,PKL_S1_M116,U Mumba,Telugu Titans,36,36,U Mumba,2023-04-26,Bengaluru,0.8123844269050347,0.7589606407753696
1,PKL_S1_M117,Dabang Delhi KC,Puneri Paltan,36,36,Dabang Delhi KC,2023-04-27,Pune,0.7971280021792982,0.7683717364576454
1,PKL_S1_M118,Telugu Titans,Patna Pirates,35,35,Telugu Titans,2023-04-28,Chennai,0.7589606407753696,0.8748357076505616
1,PKL_S1_M119,Bengaluru Bulls,Gujarat Giants,43,34,Bengaluru Bulls,2023-04-29,Patna,0.6668291153593768,0.6865262807032524
1,PKL_S1_M120,U Mumba,Gujarat Giants,32,44,Gujarat Giants,2023-04-30,Hyderabad,0.8123844269050347,0.6865262807032524
1,PKL_S1_M121,U Mumba,UP Yoddhas,40,37,U Mumba,2023-05-01,Lucknow,0.8123844269050347,0.6367135123214872
1,PKL_S1_M122,Gujarat Giants,Tamil Thalaivas,33,33,Tamil Thalaivas,2023-05-02,Haryana,0.6865262807032524,0.6882931521525409
1,PKL_S1_M123,Bengaluru Bulls,Tamil Thalaivas,30,36,Tamil Thalaivas,2023-05-03,Pune,0.6668291153593768,0.6882931521525409
1,PKL_S1_M124,UP Yoddhas,Jaipur Pink Panthers,26,34,Jaipur Pink Panthers,2023-05-04,Kolkata,0.6367135123214872,0.8261514928204012
1,PKL_S1_M125,Puneri Paltan,Haryana Steelers,37,35,Haryana Steelers,2023-05-05,Lucknow,0.7683717364576454,0.7082923312638332
1,PKL_S1_M126,Gujarat Giants,Bengaluru Bulls,43,26,Gujarat Giants,2023-05-06,Chennai,0.6865262807032524,0.6668291153593768
1,PKL_S1_M127,Gujarat Giants,Dabang Delhi KC,31,43,Dabang Delhi KC,2023-05-07,Hyderabad,0.6865262807032524,0.7971280021792982
1,PKL_S1_M128,Dabang Delhi KC,Gujarat Giants,37,44,Gujarat Giants,2023-05-08,Lucknow,0.7971280021792982,0.6865262807032524
1,PKL_S1_M129,Tamil Thalaivas,Bengal Warriors,39,30,Tamil Thalaivas,2023-05-09,Pune,0.6882931521525409,0.8130867849414407
1,PKL_S1_M130,Tamil Thalaivas,U Mumba,25,36,U Mumba,2023-05-10,Mumbai,0.6882931521525409,0.8123844269050347
1,PKL_S1_M131,Telugu Titans,Puneri Paltan,33,35,Telugu Titans,2023-05-11,Mumbai,0.7589606407753696,0.7683717364576454
1,PKL_S1_M132,Dabang Delhi KC,Haryana Steelers,30,43,Haryana Steelers,2023-05-12,Kolkata,0.7971280021792982,0.7082923312638332
2,PKL_S2_M001,Gujarat Giants,Bengaluru Bulls,30,34,Bengaluru Bulls,2023-01-01,Lucknow,0.738305641339052,0.6211030348088759
2,PKL_S2_M002,Patna Pirates,Bengaluru Bulls,34,40,Bengaluru Bulls,2023-01-02,Chennai,0.7486640192134953,0.6211030348088759
2,PKL_S2_M003,Haryana Steelers,U Mumba,33,37,U Mumba,2023-01-03,Chennai,0.7765114096948518,0.8189596317257503
2,PKL_S2_M004,Tamil Thalaivas,Telugu Titans,36,44,Telugu Titans,2023-01-04,Haryana,0.7186559457364708,0.6606763524717723
2,PKL_S2_M005,Puneri Paltan,Gujarat Giants,42,26,Puneri Paltan,2023-01-05,Lucknow,0.6720614879037459,0.738305641339052
2,PKL_S2_M006,Tamil Thalaivas,Dabang Delhi KC,43,25,Tamil Thalaivas,2023-01-06,Kolkata,0.7186559457364708,0.7347773274811705
2,PKL_S2_M007,U Mumba,Dabang Delhi KC,35,37,U Mumba,2023-01-07,Mumbai,0.8189596317257503,0.7347773274811705
2,PKL_S2_M008,Patna Pirates,Jaipur Pink Panthers,37,29,Patna Pirates,2023-01-08,Patna,0.7486640192134953,0.6949451121825083
2,PKL_S2_M009,Jaipur Pink Panthers,U Mumba,36,37,Jaipur Pink Panthers,2023-01-09,Bengaluru,0.6949451121825083,0.8189596317257503
2,PKL_S2_M010,Bengal Warriors,Gujarat Giants,33,28,Bengal Warriors,2023-01-10,Lucknow,0.8759711805780919,0.738305641339052
2,PKL_S2_M011,Gujarat Giants,Dabang Delhi KC,33,32,Dabang Delhi KC,2023-01-11,Lucknow,0.738305641339052,0.7347773274811705
2,PKL_S2_M012,Tamil Thalaivas,U Mumba,36,42,U Mumba,2023-01-12,Haryana,0.7186559457364708,0.8189596317257503
2,PKL_S2_M013,Bengaluru Bulls,Haryana Steelers,25,38,Haryana Steelers,2023-01-13,Bengaluru,0.6211030348088759,0.7765114096948518
2,PKL_S2_M014,Tamil Thalaivas,Bengal Warriors,29,39,Bengal Warriors,2023-01-14,Delhi,0.7186559457364708,0.8759711805780919
2,PKL_S2_M015,Tamil Thalaivas,Patna Pirates,32,41,Patna Pirates,2023-01-15,Bengaluru,0.7186559457364708,0.7486640192134953
2,PKL_S2_M016,Jaipur Pink Panthers,Haryana Steelers,33,40,Haryana Steelers,2023-01-16,Chennai,0.6949451121825083,0.7765114096948518
2,PKL_S2_M017,Bengaluru Bulls,Tamil Thalaivas,41,25,Bengaluru Bulls,2023-01-17,Haryana,0.6211030348088759,0.7186559457364708
2,PKL_S2_M018,Dabang Delhi KC,Haryana Steelers,35,29,Dabang Delhi KC,2023-01-18,Hyderabad,0.7347773274811705,0.7765114096948518
2,PKL_S2_M019,Tamil Thalaivas,Telugu Titans,29,39,Telugu Titans,2023-01-19,Mumbai,0.7186559457364708,0.6606763524717723
2,PKL_S2_M020,Dabang Delhi KC,Bengal Warriors,35,35,Dabang Delhi KC,2023-01-20,Mumbai,0.7347773274811705,0.8759711805780919
2,PKL_S2_M021,UP Yoddhas,Dabang Delhi KC,30,34,Dabang Delhi KC,2023-01-21,Jaipur,0.6423441673996466,0.7347773274811705
2,PKL_S2_M022,Tamil Thalaivas,U Mumba,34,34,Tamil Thalaivas,2023-01-22,Delhi,0.7186559457364708,0.8189596317257503
2,PKL_S2_M023,Dabang Delhi KC,Jaipur Pink Panthers,30,41,Jaipur Pink Panthers,2023-01-23,Ahmedabad,0.7347773274811705,0.6949451121825083
2,PKL_S2_M024,U Mumba,Haryana Steelers,31,37,Haryana Steelers,2023-01-24,Patna,0.8189596317257503,0.7765114096948518
2,PKL_S2_M025,Bengaluru Bulls,Patna Pirates,36,30,Bengaluru Bulls,2023-01-25,Lucknow,0.6211030348088759,0.7486640192134953
2,PKL_S2_M026,Bengal Warriors,U Mumba,34,32,Bengal Warriors,2023-01-26,Pune,0.8759711805780919,0.8189596317257503
2,PKL_S2_M027,Patna Pirates,UP Yoddhas,34,30,Patna Pirates,2023-01-27,Haryana,0.7486640192134953,0.6423441673996466
2,PKL_S2_M028,Bengaluru Bulls,Patna Pirates,33,28,Bengaluru Bulls,2023-01-28,Delhi,0.6211030348088759,0.7486640192134953
2,PKL_S2_M029,Bengal Warriors,Dabang Delhi KC,36,42,Dabang Delhi KC,2023-01-29,Hyderabad,0.8759711805780919,0.7347773274811705
2,PKL_S2_M030,UP Yoddhas,Puneri Paltan,37,37,UP Yoddhas,2023-01-30,Patna,0.6423441673996466,0.6720614879037459
2,PKL_S2_M031,Gujarat Giants,Jaipur Pink Panthers,36,34,Gujarat Giants,2023-01-31,Bengaluru,0.738305641339052,0.6949451121825083
2,PKL_S2_M032,UP Yoddhas,Puneri Paltan,43,36,UP Yoddhas,2023-02-01,Hyderabad,0.6423441673996466,0.6720614879037459
2,PKL_S2_M033,Bengaluru Bulls,U Mumba,38,36,Bengaluru Bulls,2023-02-02,Haryana,0.6211030348088759,0.8189596317257503
2,PKL_S2_M034,Telugu Titans,Bengal Warriors,33,36,Bengal Warriors,2023-02-03,Mumbai,0.6606763524717723,0.8759711805780919
2,PKL_S2_M035,Dabang Delhi KC,Puneri Paltan,41,36,Dabang Delhi KC,2023-02-04,Pune,0.7347773274811705,0.6720614879037459
2,PKL_S2_M036,Telugu Titans,Tamil Thalaivas,36,40,Tamil Thalaivas,2023-02-05,Kolkata,0.6606763524717723,0.7186559457364708
2,PKL_S2_M037,Puneri Paltan,UP Yoddhas,37,44,UP Yoddhas,2023-02-06,Delhi,0.6720614879037459,0.6423441673996466
2,PKL_S2_M038,Puneri Paltan,U Mumba,29,36,U Mumba,2023-02-07,Mumbai,0.6720614879037459,0.8189596317257503
2,PKL_S2_M039,Patna Pirates,Jaipur Pink Panthers,30,43,Jaipur Pink Panthers,2023-02-08,Jaipur,0.7486640192134953,0.6949451121825083
2,PKL_S2_M040,Puneri Paltan,Tamil Thalaivas,32,39,Tamil Thalaivas,2023-02-09,Chennai,0.6720614879037459,0.7186559457364708
2,PKL_S2_M041,Bengaluru Bulls,UP Yoddhas,34,32,Bengaluru Bulls,2023-02-10,Ahmedabad,0.6211030348088759,0.6423441673996466
2,PKL_S2_M042,Telugu Titans,Haryana Steelers,42,32,Telugu Titans,2023-02-11,Kolkata,0.6606763524717723,0.7765114096948518
2,PKL_S2_M043,U Mumba,Bengal Warriors,32,33,Bengal Warriors,2023-02-12,Pune,0.8189596317257503,0.8759711805780919
2,PKL_S2_M044,Bengaluru Bulls,Patna Pirates,36,32,Patna Pirates,2023-02-13,Jaipur,0.6211030348088759,0.7486640192134953
2,PKL_S2_M045,Gujarat Giants,Bengal Warriors,25,44,Bengal Warriors,2023-02-14,Patna,0.738305641339052,0.8759711805780919
2,PKL_S2_M046,Dabang Delhi KC,Patna Pirates,27,32,Patna Pirates,2023-02-15,Patna,0.7347773274811705,0.7486640192134953
2,PKL_S2_M047,Dabang Delhi KC,Puneri Paltan,26,37,Puneri Paltan,2023-02-16,Ahmedabad,0.7347773274811705,0.6720614879037459
2,PKL_S2_M048,Patna Pirates,Puneri Paltan,41,25,Patna Pirates,2023-02-17,Bengaluru,0.7486640192134953,0.6720614879037459
2,PKL_S2_M049,UP Yoddhas,Dabang Delhi KC,36,42,Dabang Delhi KC,2023-02-18,Hyderabad,0.6423441673996466,0.7347773274811705
2,PKL_S2_M050,Tamil Thalaivas,Dabang Delhi KC,36,32,Dabang Delhi KC,2023-02-19,Hyderabad,0.7186559457364708,0.7347773274811705
2,PKL_S2_M051,Dabang Delhi KC,UP Yoddhas,28,43,UP Yoddhas,2023-02-20,Bengaluru,0.7347773274811705,0.6423441673996466
2,PKL_S2_M052,Bengaluru Bulls,Puneri Paltan,35,33,Puneri Paltan,2023-02-21,Patna,0.6211030348088759,0.6720614879037459
2,PKL_S2_M053,Patna Pirates,Dabang Delhi KC,40,32,Patna Pirates,2023-02-22,Patna,0.7486640192134953,0.7347773274811705
